task_id,cli,gui,total,gui_pct
001,127,18,145,12.4
002,39,11,50,22.0
003,38,5,43,11.6
004,71,10,81,12.3
005,40,2,42,4.8
006,96,4,100,4.0
007,106,19,125,15.2
008,123,6,129,4.7
009,32,2,34,5.9
010,80,3,83,3.6
011,94,3,97,3.1
012,120,0,120,0.0
013,27,3,30,10.0
014,45,3,48,6.2
015,73,1,74,1.4
016,79,1,80,1.2
017,17,3,20,15.0
018,72,6,78,7.7
019,38,7,45,15.6
020,38,5,43,11.6
021,47,4,51,7.8
022,113,7,120,5.8
023,24,0,24,0.0
024,76,3,79,3.8
025,51,0,51,0.0
026,103,16,119,13.4
027,95,4,99,4.0
028,26,3,29,10.3
029,30,3,33,9.1
030,108,1,109,0.9
031,56,10,66,15.2
032,87,10,97,10.3
033,158,14,172,8.1
034,50,3,53,5.7
035,52,13,65,20.0
036,141,15,156,9.6
037,152,7,159,4.4
038,42,3,45,6.7
039,159,5,164,3.0
040,28,0,28,0.0
041,64,9,73,12.3
042,87,3,90,3.3
043,40,3,43,7.0
044,57,7,64,10.9
045,25,4,29,13.8
046,72,4,76,5.3
047,122,40,162,24.7
048,129,70,199,35.2
049,32,7,39,17.9
050,113,24,137,17.5
051,42,2,44,4.5
052,16,5,21,23.8
053,15,0,15,0.0
054,52,2,54,3.7
055,56,0,56,0.0
056,51,0,51,0.0
057,78,8,86,9.3
059,54,15,69,21.7
061,10,0,10,0.0
062,128,6,134,4.5
063,28,0,28,0.0
065,33,2,35,5.7
066,23,0,23,0.0
067,81,5,86,5.8
068,36,22,58,37.9
069,21,3,24,12.5
070,19,1,20,5.0
071,144,2,146,1.4
072,23,15,38,39.5
073,23,3,26,11.5
074,83,7,90,7.8
075,75,20,95,21.1
076,51,22,73,30.1
077,72,17,89,19.1
078,17,6,23,26.1
079,53,0,53,0.0
080,53,22,75,29.3
081,95,15,110,13.6
083,167,28,195,14.4
084,88,13,101,12.9
085,49,4,53,7.5
086,71,2,73,2.7
087,36,10,46,21.7
088,130,30,160,18.8
089,80,10,90,11.1
090,55,5,60,8.3
091,56,9,65,13.8
092,66,17,83,20.5
093,66,28,94,29.8
094,69,7,76,9.2
095,11,1,12,8.3
096,46,0,46,0.0
097,67,0,67,0.0
098,44,6,50,12.0
099,59,21,80,26.2
100,38,49,87,56.3
101,80,31,111,27.9
102,41,2,43,4.7
103,14,11,25,44.0
104,21,0,21,0.0
105,59,2,61,3.3
106,95,0,95,0.0
107,143,18,161,11.2
108,326,52,378,13.8
